Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,468.29,безналичный,Минск,Приорбанк-HSNO-141,18-11-2023,23:05:51,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4166.93,безналичный,Минск,Приорбанк-EWPI-159,18-04-2017,12:53:18,успешно,нет,0.0
юр. лицо,списание средств,3318.08,безналичный,Минск,МаксБанк-PXQB-055,09-06-2003,15:37:11,неправильный ввод пин-кода,да,166.84
физ. лицо,получение средств,79.2,наличный,Минск,БелАгропромбанк-TLWX-170,08-06-2012,12:32:43,успешно,нет,0.0
физ. лицо,списание средств,4520.66,безналичный,Минск,Беларусбанк-PJDO-112,26-07-2021,10:40:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,177.77,наличный,Минск,Приорбанк-JHUJ-303,18-11-2019,01:03:58,успешно,нет,0.0
физ. лицо,получение средств,3659.72,безналичный,Минск,МаксБанк-IFWT-977,14-04-2019,11:46:20,успешно,нет,0.0
юр. лицо,получение средств,2444.55,безналичный,Минск,Приорбанк-XCRO-051,23-04-2017,03:58:35,успешно,нет,0.0
физ. лицо,списание средств,1362.07,безналичный,Минск,Белинвестбанк-LLWG-826,13-10-2018,21:32:43,неправильный ввод пин-кода,да,119.39
юр. лицо,получение средств,4211.93,безналичный,Минск,Беларусбанк-LIBE-390,22-05-2008,00:46:09,успешно,нет,0.0
физ. лицо,получение средств,224.88,наличный,Минск,Приорбанк-EOLV-054,26-02-2005,04:54:55,успешно,нет,0.0
юр. лицо,списание средств,4018.07,наличный,Минск,БелАгропромбанк-AHJV-926,04-07-2019,14:36:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4532.36,безналичный,Минск,МаксБанк-QOFK-514,28-12-2022,17:56:21,успешно,нет,0.0
физ. лицо,списание средств,49.86,наличный,Минск,МаксБанк-COIN-120,09-02-2003,23:14:00,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2764.04,безналичный,Минск,БелАгропромбанк-HFMM-348,08-08-2003,02:24:11,успешно,нет,0.0
юр. лицо,получение средств,2731.33,наличный,Минск,Приорбанк-KTSK-710,24-11-2017,21:19:01,успешно,нет,0.0
юр. лицо,получение средств,4771.28,безналичный,Минск,МаксБанк-OUBY-356,19-05-2007,11:50:04,успешно,нет,0.0
юр. лицо,получение средств,1216.13,безналичный,Минск,Беларусбанк-WFQI-912,25-03-2010,06:21:01,успешно,нет,0.0
юр. лицо,получение средств,1325.78,наличный,Минск,БелАгропромбанк-KEQY-076,05-05-2013,10:53:05,успешно,нет,0.0
юр. лицо,получение средств,3663.18,наличный,Минск,Приорбанк-WVSY-595,10-09-2007,09:59:41,успешно,нет,0.0
физ. лицо,получение средств,623.12,безналичный,Минск,БелАгропромбанк-PYWU-806,18-08-2012,10:05:10,успешно,нет,0.0
физ. лицо,списание средств,4808.3,наличный,Минск,БелАгропромбанк-HALQ-715,11-10-2021,15:31:31,успешно,нет,0.0
физ. лицо,получение средств,1807.75,наличный,Минск,МаксБанк-EKHH-148,24-06-2001,05:49:36,успешно,нет,0.0
физ. лицо,получение средств,3719.34,безналичный,Минск,Беларусбанк-WCKS-701,25-02-2014,16:52:09,успешно,нет,0.0
юр. лицо,получение средств,4979.72,безналичный,Минск,Белинвестбанк-VRUY-976,07-02-2012,07:27:31,успешно,нет,0.0
физ. лицо,получение средств,2803.13,безналичный,Минск,Белинвестбанк-KRMR-579,11-12-2004,17:52:26,успешно,нет,0.0
юр. лицо,списание средств,3228.81,безналичный,Минск,МаксБанк-WITY-999,27-08-2011,11:56:37,успешно,да,184.82
юр. лицо,списание средств,3897.62,наличный,Минск,Приорбанк-LLGH-026,19-11-2003,04:05:13,успешно,нет,0.0
юр. лицо,списание средств,2154.94,наличный,Минск,МаксБанк-DVDT-866,13-07-2020,02:50:35,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,203.07,безналичный,Минск,МаксБанк-ESQA-889,11-12-2018,04:15:47,недостаточно средств,нет,0.0
физ. лицо,получение средств,3282.49,безналичный,Минск,МаксБанк-HUQN-729,17-01-2017,13:32:27,успешно,нет,0.0
физ. лицо,списание средств,4953.47,наличный,Минск,МаксБанк-BTZR-281,26-01-2022,19:56:36,недостаточно средств,нет,0.0
физ. лицо,списание средств,4026.54,безналичный,Минск,Белинвестбанк-NMIS-370,19-10-2005,17:11:54,недостаточно средств,да,111.18
физ. лицо,списание средств,4181.63,наличный,Минск,БелАгропромбанк-JNGU-885,12-11-2010,02:23:16,успешно,нет,0.0
юр. лицо,получение средств,116.99,безналичный,Минск,БелАгропромбанк-TMAJ-510,21-11-2015,18:09:20,успешно,нет,0.0
юр. лицо,получение средств,2156.44,безналичный,Минск,Приорбанк-TXEV-712,28-02-2022,16:20:01,успешно,нет,0.0
юр. лицо,получение средств,1335.44,безналичный,Минск,Белинвестбанк-CZOT-708,17-08-2024,03:50:22,успешно,нет,0.0
юр. лицо,получение средств,3249.93,безналичный,Минск,БелАгропромбанк-RKIS-075,04-04-2005,18:37:06,успешно,нет,0.0
физ. лицо,получение средств,3224.33,наличный,Минск,Приорбанк-HAPP-481,07-11-2005,12:50:04,успешно,нет,0.0
физ. лицо,списание средств,1469.17,безналичный,Минск,Белинвестбанк-FEMD-585,04-05-2018,08:15:50,успешно,да,116.0
юр. лицо,списание средств,4976.53,безналичный,Минск,МаксБанк-GAXI-259,26-05-2007,21:24:20,успешно,нет,0.0
юр. лицо,получение средств,366.88,безналичный,Минск,Беларусбанк-BICE-295,23-07-2004,22:01:56,успешно,нет,0.0
юр. лицо,получение средств,1301.33,безналичный,Минск,Приорбанк-NSRJ-675,14-09-2022,20:56:16,успешно,нет,0.0
юр. лицо,получение средств,4902.73,наличный,Минск,Беларусбанк-TFDZ-991,14-07-2012,00:20:51,успешно,нет,0.0
физ. лицо,списание средств,3716.5,безналичный,Минск,МаксБанк-TZER-689,24-01-2023,11:29:11,недостаточно средств,нет,0.0
юр. лицо,получение средств,4458.2,наличный,Минск,Белинвестбанк-HANM-072,02-03-2022,22:58:11,успешно,нет,0.0
юр. лицо,получение средств,2208.41,безналичный,Минск,Приорбанк-LEYN-154,25-10-2008,04:18:47,успешно,нет,0.0
физ. лицо,получение средств,968.55,безналичный,Минск,Белинвестбанк-KHUZ-906,11-03-2015,17:50:15,успешно,нет,0.0
физ. лицо,получение средств,3354.13,наличный,Минск,МаксБанк-OWPG-234,07-07-2006,03:27:56,успешно,нет,0.0
юр. лицо,получение средств,1083.04,безналичный,Минск,Беларусбанк-ZOVQ-613,13-11-2011,18:06:05,успешно,нет,0.0
юр. лицо,получение средств,2522.75,наличный,Минск,Белинвестбанк-WWTL-335,18-03-2002,09:27:48,успешно,нет,0.0
физ. лицо,получение средств,2835.57,наличный,Минск,Беларусбанк-OHZH-747,21-06-2001,00:21:02,успешно,нет,0.0
юр. лицо,списание средств,3001.9,безналичный,Минск,Белинвестбанк-YYWJ-220,16-11-2018,11:12:53,недостаточно средств,да,251.07
юр. лицо,получение средств,1964.87,наличный,Минск,Беларусбанк-CKAV-315,25-03-2014,20:56:28,успешно,нет,0.0
юр. лицо,получение средств,4593.4,наличный,Минск,Белинвестбанк-OKNK-995,29-04-2022,04:17:10,успешно,нет,0.0
физ. лицо,списание средств,1111.87,наличный,Минск,Приорбанк-KIYL-977,09-01-2017,01:17:23,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4542.59,безналичный,Минск,Белинвестбанк-XWTG-310,06-09-2020,21:16:48,успешно,да,443.64
физ. лицо,получение средств,4401.5,безналичный,Минск,БелАгропромбанк-HFHG-511,03-11-2015,16:57:15,успешно,нет,0.0
юр. лицо,получение средств,3705.47,наличный,Минск,МаксБанк-UKJN-674,31-08-2004,03:35:18,успешно,нет,0.0
физ. лицо,получение средств,1407.19,безналичный,Минск,Белинвестбанк-MNUH-831,17-07-2003,21:59:18,успешно,нет,0.0
физ. лицо,получение средств,3503.38,безналичный,Минск,Приорбанк-NKYZ-804,27-01-2000,08:39:11,успешно,нет,0.0
физ. лицо,получение средств,3778.28,безналичный,Минск,Приорбанк-EHCT-691,17-08-2007,04:46:43,успешно,нет,0.0
физ. лицо,списание средств,1092.61,наличный,Минск,БелАгропромбанк-APSQ-759,11-06-2016,09:09:02,неправильный ввод пин-кода,да,70.34
физ. лицо,получение средств,2423.89,наличный,Минск,Белинвестбанк-SNLN-261,10-01-2008,05:58:07,успешно,нет,0.0
юр. лицо,получение средств,1498.73,наличный,Минск,БелАгропромбанк-VSHW-871,30-11-2009,04:52:13,успешно,нет,0.0
физ. лицо,списание средств,3092.74,безналичный,Минск,Белинвестбанк-KBZK-853,15-02-2016,14:12:56,недостаточно средств,нет,0.0
физ. лицо,списание средств,123.94,безналичный,Минск,Белинвестбанк-LYJM-122,02-05-2024,16:21:20,успешно,да,2.72
физ. лицо,получение средств,2304.0,наличный,Минск,БелАгропромбанк-EPQZ-033,15-04-2003,15:56:22,успешно,нет,0.0
физ. лицо,списание средств,3302.31,безналичный,Минск,МаксБанк-OANV-877,14-01-2005,20:37:38,недостаточно средств,да,192.44
юр. лицо,получение средств,629.03,безналичный,Минск,Белинвестбанк-HJAD-072,05-11-2011,04:27:37,успешно,нет,0.0
юр. лицо,списание средств,2940.09,наличный,Минск,Приорбанк-HPFB-582,28-09-2009,02:57:08,недостаточно средств,да,192.23
юр. лицо,получение средств,635.2,наличный,Минск,Беларусбанк-IBPK-598,09-09-2009,22:33:08,успешно,нет,0.0
физ. лицо,списание средств,3306.95,безналичный,Минск,Беларусбанк-DDQB-263,18-08-2020,18:34:56,успешно,да,262.8
юр. лицо,списание средств,3413.79,наличный,Минск,Приорбанк-IMLN-540,09-07-2016,21:53:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3032.22,безналичный,Минск,Беларусбанк-THNX-066,06-07-2023,12:57:35,успешно,нет,0.0
физ. лицо,списание средств,792.98,наличный,Минск,Беларусбанк-PKUO-092,22-02-2011,15:18:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4411.76,наличный,Минск,Беларусбанк-BZHJ-968,16-11-2021,08:16:07,успешно,нет,0.0
физ. лицо,получение средств,4285.09,наличный,Минск,БелАгропромбанк-PYDN-188,20-10-2002,16:59:50,успешно,нет,0.0
физ. лицо,списание средств,2426.97,безналичный,Минск,БелАгропромбанк-HPNL-529,14-08-2024,22:01:04,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3854.56,безналичный,Минск,Белинвестбанк-YIJT-838,18-05-2003,06:26:52,успешно,нет,0.0
юр. лицо,получение средств,1373.49,безналичный,Минск,БелАгропромбанк-HXDW-942,08-02-2010,10:15:39,успешно,нет,0.0
юр. лицо,списание средств,64.71,наличный,Минск,Белинвестбанк-PYEV-111,14-08-2023,10:20:51,неправильный ввод пин-кода,да,4.65
физ. лицо,получение средств,4220.87,безналичный,Минск,Белинвестбанк-EDWG-678,14-10-2016,08:13:33,успешно,нет,0.0
юр. лицо,получение средств,3583.07,наличный,Минск,Приорбанк-NASS-538,13-05-2024,14:05:38,успешно,нет,0.0
юр. лицо,получение средств,3035.5,безналичный,Минск,БелАгропромбанк-KEYD-462,30-01-2016,13:08:00,успешно,нет,0.0
физ. лицо,списание средств,4837.18,наличный,Минск,БелАгропромбанк-CEFC-560,19-07-2013,17:42:35,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2853.53,безналичный,Минск,МаксБанк-XKPE-037,02-11-2005,16:18:17,успешно,нет,0.0
юр. лицо,списание средств,3493.3,безналичный,Минск,Приорбанк-ZXPD-323,26-07-2009,15:34:50,успешно,да,341.58
юр. лицо,списание средств,1431.56,безналичный,Минск,Белинвестбанк-BEAO-857,07-03-2007,04:32:53,успешно,нет,0.0
физ. лицо,получение средств,3149.2,наличный,Минск,МаксБанк-YGOI-451,08-06-2002,04:08:35,успешно,нет,0.0
физ. лицо,получение средств,3610.59,наличный,Минск,Белинвестбанк-MYFD-998,26-08-2010,00:12:57,успешно,нет,0.0
физ. лицо,получение средств,867.1,безналичный,Минск,Беларусбанк-OMHB-047,07-09-2000,07:03:08,успешно,нет,0.0
юр. лицо,списание средств,3360.07,безналичный,Минск,Приорбанк-GXCC-555,25-01-2024,10:11:14,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1553.08,наличный,Минск,БелАгропромбанк-GTPI-941,09-07-2014,13:39:49,успешно,нет,0.0
физ. лицо,списание средств,3378.14,наличный,Минск,БелАгропромбанк-NIKR-200,10-08-2016,04:01:33,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4092.38,наличный,Минск,Приорбанк-CQOE-461,17-01-2000,23:46:41,успешно,нет,0.0
физ. лицо,списание средств,1678.01,наличный,Минск,МаксБанк-KVAG-823,27-11-2007,00:27:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3321.53,безналичный,Минск,БелАгропромбанк-IEGV-222,13-04-2015,14:46:42,успешно,нет,0.0
физ. лицо,получение средств,1789.07,наличный,Минск,Беларусбанк-WBON-243,27-10-2001,15:28:07,успешно,нет,0.0
юр. лицо,получение средств,757.48,безналичный,Минск,БелАгропромбанк-IVCW-497,05-09-2021,15:00:41,успешно,нет,0.0
физ. лицо,списание средств,1917.9,наличный,Минск,БелАгропромбанк-ZXCG-049,25-12-2024,07:39:09,недостаточно средств,нет,0.0
физ. лицо,получение средств,3784.43,безналичный,Минск,Беларусбанк-ZFAP-327,03-11-2004,01:52:54,успешно,нет,0.0
юр. лицо,списание средств,1011.71,безналичный,Минск,Беларусбанк-GWGW-078,19-03-2015,02:55:00,успешно,да,45.57
юр. лицо,списание средств,2245.18,безналичный,Минск,БелАгропромбанк-CALH-202,24-12-2019,03:35:37,недостаточно средств,да,221.06
физ. лицо,получение средств,312.24,безналичный,Минск,Приорбанк-FQZH-701,22-05-2011,15:59:22,успешно,нет,0.0
юр. лицо,получение средств,3785.91,безналичный,Минск,БелАгропромбанк-NLNP-227,08-11-2017,23:05:27,успешно,нет,0.0
физ. лицо,списание средств,4110.66,безналичный,Минск,БелАгропромбанк-DDGD-928,16-08-2004,00:56:14,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2070.68,наличный,Минск,МаксБанк-HYUS-573,28-10-2017,00:23:42,успешно,нет,0.0
физ. лицо,списание средств,4770.34,безналичный,Минск,Белинвестбанк-JHHH-874,11-09-2011,17:28:56,успешно,да,284.99
юр. лицо,списание средств,4656.53,безналичный,Минск,Беларусбанк-XAIQ-575,04-07-2021,13:55:41,успешно,нет,0.0
юр. лицо,списание средств,3713.49,наличный,Минск,БелАгропромбанк-IZWG-188,25-12-2005,18:18:07,недостаточно средств,нет,0.0
физ. лицо,списание средств,482.49,безналичный,Минск,БелАгропромбанк-ZRIT-259,28-11-2012,18:55:18,успешно,да,17.14
физ. лицо,списание средств,963.1,безналичный,Минск,Белинвестбанк-GWQX-090,28-09-2001,02:37:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4784.76,безналичный,Минск,Белинвестбанк-WQQA-191,26-09-2001,23:30:05,успешно,нет,0.0
юр. лицо,получение средств,1913.66,наличный,Минск,МаксБанк-SAJI-676,20-09-2015,20:18:32,успешно,нет,0.0
физ. лицо,списание средств,4320.65,безналичный,Минск,БелАгропромбанк-RJEI-262,01-11-2022,23:26:04,неправильный ввод пин-кода,да,343.43
юр. лицо,получение средств,3198.15,наличный,Минск,Беларусбанк-KFYQ-897,25-11-2002,11:52:29,успешно,нет,0.0
юр. лицо,получение средств,746.59,наличный,Минск,БелАгропромбанк-UIQU-112,04-02-2010,05:55:45,успешно,нет,0.0
физ. лицо,получение средств,133.06,наличный,Минск,БелАгропромбанк-OGKQ-957,20-10-2011,11:31:38,успешно,нет,0.0
юр. лицо,получение средств,2058.71,безналичный,Минск,МаксБанк-JFFE-587,23-09-2001,02:50:37,успешно,нет,0.0
юр. лицо,получение средств,1007.76,безналичный,Минск,Приорбанк-IAGZ-110,17-09-2004,17:28:12,успешно,нет,0.0
физ. лицо,получение средств,4284.44,наличный,Минск,МаксБанк-WAZI-409,15-06-2014,18:55:04,успешно,нет,0.0
физ. лицо,получение средств,2327.27,наличный,Минск,Белинвестбанк-RHWI-188,23-07-2020,00:41:22,успешно,нет,0.0
юр. лицо,списание средств,1911.71,наличный,Минск,БелАгропромбанк-IODN-525,27-08-2003,10:43:06,недостаточно средств,да,121.97
юр. лицо,получение средств,500.14,безналичный,Минск,Беларусбанк-QMVI-548,30-03-2022,00:37:43,успешно,нет,0.0
физ. лицо,списание средств,1409.1,наличный,Минск,Беларусбанк-AEYD-167,30-05-2005,11:09:15,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1769.57,безналичный,Минск,БелАгропромбанк-AOSQ-198,24-12-2005,00:34:52,успешно,нет,0.0
физ. лицо,списание средств,71.35,наличный,Минск,Беларусбанк-FTOG-065,05-09-2006,07:04:29,недостаточно средств,да,2.18
физ. лицо,списание средств,2441.58,безналичный,Минск,Беларусбанк-KGMW-252,02-01-2024,04:50:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,987.67,наличный,Минск,МаксБанк-FHWC-151,23-03-2020,11:13:24,успешно,нет,0.0
юр. лицо,получение средств,4607.14,безналичный,Минск,Приорбанк-WFLB-065,07-02-2011,20:59:37,успешно,нет,0.0
физ. лицо,получение средств,1548.25,наличный,Минск,Приорбанк-LDLY-055,02-10-2004,13:02:35,успешно,нет,0.0
юр. лицо,получение средств,1038.79,наличный,Минск,МаксБанк-MKSY-756,11-08-2016,18:37:19,успешно,нет,0.0
физ. лицо,списание средств,1293.33,наличный,Минск,МаксБанк-KSRI-986,07-08-2009,16:27:16,успешно,да,59.5
физ. лицо,списание средств,4359.57,наличный,Минск,Беларусбанк-FWXP-414,18-01-2009,11:39:21,неправильный ввод пин-кода,да,394.29
юр. лицо,получение средств,4552.03,безналичный,Минск,МаксБанк-YTRF-003,07-08-2020,10:21:33,успешно,нет,0.0
юр. лицо,получение средств,4717.61,безналичный,Минск,Приорбанк-UQPE-704,20-08-2004,19:54:22,успешно,нет,0.0
юр. лицо,получение средств,4229.03,безналичный,Минск,Белинвестбанк-CQMN-872,02-07-2020,22:39:24,успешно,нет,0.0
физ. лицо,получение средств,2911.56,безналичный,Минск,Белинвестбанк-GAGT-407,25-09-2013,14:56:14,успешно,нет,0.0
юр. лицо,списание средств,1.61,безналичный,Минск,Беларусбанк-LNUH-354,28-09-2013,14:36:05,неправильный ввод пин-кода,да,0.13
физ. лицо,получение средств,455.95,наличный,Минск,МаксБанк-ISUP-402,14-12-2007,04:34:11,успешно,нет,0.0
юр. лицо,получение средств,1503.09,безналичный,Минск,БелАгропромбанк-ORGT-598,29-12-2016,07:20:35,успешно,нет,0.0
физ. лицо,списание средств,999.92,наличный,Минск,МаксБанк-ORPR-481,27-11-2005,08:53:52,успешно,нет,0.0
юр. лицо,получение средств,2239.23,наличный,Минск,Беларусбанк-PLQG-688,18-01-2018,08:37:04,успешно,нет,0.0
физ. лицо,получение средств,1880.08,наличный,Минск,Беларусбанк-TDCT-399,24-06-2022,15:31:50,успешно,нет,0.0
физ. лицо,списание средств,4839.17,безналичный,Минск,БелАгропромбанк-RRYD-675,09-10-2020,05:08:50,недостаточно средств,нет,0.0
юр. лицо,списание средств,2164.21,наличный,Минск,Беларусбанк-HQPC-139,15-04-2006,23:20:14,неправильный ввод пин-кода,да,145.49
юр. лицо,получение средств,651.98,наличный,Минск,БелАгропромбанк-UTCH-747,21-12-2018,12:55:04,успешно,нет,0.0
юр. лицо,получение средств,3088.48,наличный,Минск,Беларусбанк-GZES-696,26-05-2024,06:49:32,успешно,нет,0.0
физ. лицо,получение средств,1259.13,безналичный,Минск,БелАгропромбанк-KARP-567,23-11-2008,06:32:10,успешно,нет,0.0
физ. лицо,списание средств,3916.34,наличный,Минск,БелАгропромбанк-SWJT-296,20-06-2021,10:30:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3440.85,безналичный,Минск,Белинвестбанк-ZAJE-900,29-05-2001,09:39:50,успешно,нет,0.0
юр. лицо,получение средств,3700.09,безналичный,Минск,Белинвестбанк-QNPM-242,09-03-2014,05:16:04,успешно,нет,0.0
юр. лицо,списание средств,1441.07,безналичный,Минск,БелАгропромбанк-RVIW-087,15-12-2005,02:00:37,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3333.81,наличный,Минск,Белинвестбанк-XQZZ-451,18-09-2021,17:16:56,успешно,нет,0.0
физ. лицо,списание средств,4569.85,наличный,Минск,Беларусбанк-FUGO-282,11-05-2001,03:09:39,успешно,да,217.82
юр. лицо,получение средств,4909.73,наличный,Минск,МаксБанк-MEMS-990,20-11-2008,19:19:39,успешно,нет,0.0
юр. лицо,списание средств,208.69,наличный,Минск,Приорбанк-IYKL-448,23-01-2008,05:54:20,успешно,да,8.73
юр. лицо,получение средств,3463.37,наличный,Минск,Беларусбанк-EBVQ-118,25-08-2011,07:36:22,успешно,нет,0.0
юр. лицо,списание средств,2082.41,наличный,Минск,Белинвестбанк-SDOW-459,02-07-2003,15:58:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1556.72,безналичный,Минск,Белинвестбанк-RIRH-195,16-06-2000,00:20:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2027.47,безналичный,Минск,Беларусбанк-TNUK-867,03-06-2004,03:10:13,успешно,да,153.62
физ. лицо,списание средств,1791.36,безналичный,Минск,Приорбанк-LJEO-514,28-12-2018,02:59:34,недостаточно средств,да,170.03
физ. лицо,получение средств,4608.93,безналичный,Минск,Беларусбанк-QGOJ-905,16-08-2012,18:20:03,успешно,нет,0.0
физ. лицо,списание средств,931.77,наличный,Минск,МаксБанк-PKNC-727,03-11-2023,06:03:13,недостаточно средств,нет,0.0
юр. лицо,списание средств,3796.21,безналичный,Минск,МаксБанк-HJZS-179,20-05-2019,05:08:44,недостаточно средств,нет,0.0
физ. лицо,получение средств,482.96,безналичный,Минск,МаксБанк-SNOI-503,23-09-2005,01:13:24,успешно,нет,0.0
физ. лицо,получение средств,857.81,наличный,Минск,Беларусбанк-MFDG-832,13-04-2019,16:42:22,успешно,нет,0.0
юр. лицо,получение средств,1532.95,безналичный,Минск,МаксБанк-AOOB-203,10-06-2003,14:00:47,успешно,нет,0.0
юр. лицо,списание средств,219.39,наличный,Минск,Беларусбанк-YVPK-863,19-05-2007,04:41:05,успешно,нет,0.0
юр. лицо,получение средств,1888.36,наличный,Минск,Белинвестбанк-MKHP-023,14-03-2020,15:13:43,успешно,нет,0.0
физ. лицо,списание средств,727.25,наличный,Минск,Приорбанк-QICV-863,31-07-2022,00:57:55,успешно,нет,0.0
физ. лицо,получение средств,94.9,наличный,Минск,Белинвестбанк-BSPC-614,22-05-2007,09:43:59,успешно,нет,0.0
физ. лицо,получение средств,1210.0,наличный,Минск,Белинвестбанк-KTSM-983,30-05-2023,19:39:16,успешно,нет,0.0
физ. лицо,списание средств,2709.52,безналичный,Минск,МаксБанк-PYJH-000,21-12-2008,09:02:23,неправильный ввод пин-кода,да,65.4
юр. лицо,получение средств,3584.88,безналичный,Минск,БелАгропромбанк-QGRW-461,30-08-2009,06:10:56,успешно,нет,0.0
физ. лицо,получение средств,680.38,безналичный,Минск,Беларусбанк-ZXEW-599,27-05-2006,17:10:48,успешно,нет,0.0
юр. лицо,списание средств,3480.5,безналичный,Минск,Беларусбанк-CHXO-567,01-07-2008,02:48:15,успешно,да,314.38
